permutation,permuted_r2,permuted_spearman
1,-0.27783790506739314,-0.0393629173916613
2,-0.16444495064289266,-0.08442562262844637
3,-0.3071163963177235,-0.02378774805565796
4,-0.2828504371006264,-0.017659715566997653
5,-0.3212338527101837,0.020846712537590583
6,-0.3536245841258583,-0.04851183327081172
7,-0.11895661865876139,-0.07243927342895454
8,-0.4499154306991151,-0.04112823882998435
9,-0.4682018254295153,-0.07792510564932971
10,-0.5429514542528235,-0.025840455155894972
11,-0.005051555406963004,0.03469515079532487
12,-0.14882385800981823,-0.04991625566154559
13,-0.4923906309122432,0.08491196118333849
14,-0.24640959053241862,0.025636251306797166
15,-0.28707978886095353,-0.07986337524556213
16,-0.3613497087536801,0.004132835860210019
17,-0.24338969986715342,-0.0007560543327208851
18,-0.4164512417865007,-0.03444568870538622
19,-0.37882646988822044,-0.013291086772462048
20,-0.2612777283136014,-0.042026652417504855
21,-0.28819299437099466,0.0658206516114005
22,-0.2652892303636296,-0.021696867337916127
23,-0.23438008606427063,0.020437888096845797
24,-0.34121856992840693,-0.03736755406619135
25,-0.24929232966942205,-0.04422188546956114
26,-0.17423736957454095,0.10789764652884618
27,-0.20482844193909844,-0.05035458547477226
28,-0.30623120109108815,0.07751519767795707
29,-0.20977129046640308,-0.011148446630112163
30,-0.35961585846298005,-0.002985793667849219
31,-0.3368654738503847,-0.05454276474551328
32,-0.24100490617756853,-0.08251635831363684
33,-0.45147678802755564,-0.026780793043862893
34,-0.5666840722035451,-0.05700271266480819
35,-0.44263554598849897,0.038736886734284326
36,-0.5061425961240082,-0.09610258215942759
37,-0.24440549356765962,0.11984057115471355
38,-0.30776221393255176,0.03457946306367273
39,-0.2950411604950114,-0.007409515827386313
40,-0.7277032226441915,-0.051450284985074174
41,-0.14030458747467334,0.027109352869635766
42,-0.22194132881521722,-0.10515623069183563
43,-0.22267322929304045,0.0058597336354987446
44,-0.3230064664065222,0.02112292949918655
45,-0.2568818505046542,0.04128768452930031
46,-0.11329051128311929,-0.04131577297711499
47,-0.2304865596517054,-0.020721356378797483
48,-0.47094120939136785,-0.07577171354921101
49,-0.6619013447153117,0.06634708079952364
50,-0.21728695273680532,-0.12164956721219058
51,-0.3149642331350879,-0.05562612867635949
52,-0.4744075560740608,-0.021905822052074576
53,-0.3351933365214961,0.011872495135056086
54,-0.36197469000938143,0.06637316888310227
